field,value
command,sensor random_train_profile 10 1800 2100 40 8 40 120 1000
metadata.count,10
metadata.duration_ms,40
metadata.duty,8
metadata.host_capture_finished_perf_counter_s,9411.828445823
metadata.host_capture_finished_wall_time_s,1779483255.574123621
metadata.host_command_sent_perf_counter_s,9394.429942425
metadata.host_command_sent_wall_time_s,1779483238.175621033
metadata.max_period_ms,2100
metadata.min_period_ms,1800
metadata.post_ms,120
metadata.pre_ms,40
metadata.sample_us,1000
metadata.samples,2614
baseline_adc,2851.8571428571427
fall_time_ms,
peak_adc,3293.0
peak_time_ms,13468.637
pulse_count,10
pulse_width_ms,
rise_time_ms,
sample_count,2614
sample_interval_avg_ms,6.639988518943743
sample_interval_max_ms,14.408999999999992
sample_interval_min_ms,3.6469999999999985
threshold_adc,3072.4285714285716
threshold_crossing_ms,
